Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
NN GROUP,NL0010773842,NN,Euronext Amsterdam,EUR,34.69,34.9,34.41,34.9,26/11/19,CET,2230488,77651880.65,
NOKIA,FI0009000681,NOKIA,Euronext Paris,EUR,3.169,3.2005,3.13,3.13,26/11/19,CET,322321,1017873.78,
NOS, SGPS,PTZON0AM0006,NOS,Euronext Lisbon,EUR,4.97,4.976,4.894,4.924,27/11/19,BST,1528168,7525422.13
NOVACYT,FR0010397232,ALNOV,Euronext Growth Paris,EUR,0.121,0.1298,0.121,0.1214,26/11/19,CET,693341,85826.47,
NOVATECH IND.,FR0000185464,MLNOV,Euronext Access Paris,EUR,6.8,6.8,6.8,6.8,18/11/19,CET,300,2040,
NOVISOURCE,NL0010696704,NOVI,Euronext Amsterdam,EUR,1.04,1.04,1.04,1.04,26/11/19,CET,1,1.04,
NOXXON,NL0012044762,ALNOX,Euronext Growth Paris,EUR,0.375,0.375,0.363,0.37,26/11/19,CET,8680,3187.66,
NR21,FR0004166155,NR21,Euronext Paris,EUR,1.02,1.02,1.02,1.02,14/11/19,CET,6400,6528,
NRJ GROUP,FR0000121691,NRG,Euronext Paris,EUR,6,6.04,5.98,6.04,26/11/19,CET,61901,372838.88,
NSC GROUPE,FR0000064529,ALNSC,Euronext Growth Paris,EUR,75,75,75,75,26/11/19,CET,20,1500,
NSE,FR0004065639,ALNSE,Euronext Growth Paris,EUR,10.4,10.4,10.4,10.4,26/11/19,CET,291,3026.4,
NSI N.V.,NL0012365084,NSI,Euronext Amsterdam,EUR,40,40.2,40,40,26/11/19,CET,25507,1020503.3,
NYRSTAR,BE0974294267,NYR,Euronext Brussels,EUR,0.176,0.18,0.1711,0.1712,26/11/19,CET,71779,12539.07,
O SORBET D AMOUR,FR0013072741,MLOSA,Euronext Access Paris,EUR,3.6,3.6,3.6,3.6,26/11/19,CET,20,72,
O2I,FR0010231860,ALODI,Euronext Growth Paris,EUR,1.22,1.27,1.18,1.265,26/11/19,CET,64155,79142.41,
